name,sector_label,side,institution,institution_source,safety_tenure,leads_work,works_total,papers,posts,strong_works,confidence,citations,post_score,af_posts,tier,first_year,last_year,cluster_name,topics,sources,openalex_id,lw_slug,top_1,top_1_url,top_2,top_2_url,top_3,top_3_url,recent_1,recent_1_url
lsusr,No affiliation on indexed works,other,,,mid,0,10,0,10,10,high,0,473,1,10-24 works,2021,2024,"Existential, Timelines, Superintelligence",AI risk; Decision theory; Forecasting & timelines; Containment; Deception & scheming; Embedded agency,lesswrong,,lsusr,I wanted to interview Eliezer Yudkowsky but he's busy so I simulated him instead,https://www.lesswrong.com/posts/bDMoMvw2PYgijqZCC/i-wanted-to-interview-eliezer-yudkowsky-but-he-s-busy-so-i,"[Book Review] ""The Alignment Problem"" by Brian Christian",https://www.lesswrong.com/posts/ZYDkHWjShKazTywbg/book-review-the-alignment-problem-by-brian-christian,Bayeswatch 7: Wildfire,https://www.lesswrong.com/posts/nHanKgEsFFJxAZhBp/bayeswatch-7-wildfire,Decision Theory in Space,https://www.lesswrong.com/posts/7o7jPegxcnPnxXkvd/decision-theory-in-space
Priyanka Bharadwaj,No affiliation on indexed works,other,,,early,0,10,0,10,10,high,0,142,0,10-24 works,2025,2026,"Existential, Timelines, Superintelligence",Field-building; Corrigibility; Evaluations; AI governance; Deception & scheming; Robustness; Inner alignment,lesswrong,,priyanka-bharadwaj,Should we align AI with maternal instinct?,https://www.lesswrong.com/posts/C6oQaSXmTtqNxh9Ad/should-we-align-ai-with-maternal-instinct,Research Without Permission,https://www.lesswrong.com/posts/NQGHxoTAcKaxnZke9/research-without-permission,Why Eliminating Deception Won’t Align AI,https://www.lesswrong.com/posts/wneX9x8ZKnnAenjfL/why-eliminating-deception-won-t-align-ai,The Virtual Mother-in-Law,https://www.lesswrong.com/posts/YowdDzpywFFYzpM92/the-virtual-mother-in-law
TristanTrim,No affiliation on indexed works,other,,,early,0,10,0,10,10,high,0,55,0,10-24 works,2024,2025,"Existential, Timelines, Superintelligence",Field-building; AI control; Forecasting & timelines; Agent foundations; Takeoff dynamics,lesswrong,,tristantrim,How I'd like alignment to get done (as of 2024-10-18),https://www.lesswrong.com/posts/LtE3EkJtfdoJGh97k/how-i-d-like-alignment-to-get-done-as-of-2024-10-18,Tristan's Projects,https://www.lesswrong.com/posts/F2bDx3cAcPn4Yr7Jq/tristan-s-projects,TT Self Study Journal # 1,https://www.lesswrong.com/posts/oqhaysLntJb4yBnsm/tt-self-study-journal-1,Agent Foundations: Paradigmatizing in Math and Science,https://www.lesswrong.com/posts/4uaQW2fJPinwsy4tn/agent-foundations-paradigmatizing-in-math-and-science
nostalgebraist,No affiliation on indexed works,other,,,mid,0,10,0,10,10,high,0,1136,7,10-24 works,2018,2025,"Existential, Timelines, Superintelligence",Forecasting & timelines; Agency & goals; Embedded agency; Takeoff dynamics; Chain of thought; Inner alignment,lesswrong,,nostalgebraist,the case for CoT unfaithfulness is overstated,https://www.lesswrong.com/posts/HQyWGE2BummDCc2Cx/the-case-for-cot-unfaithfulness-is-overstated,human psycholinguists: a critical appraisal,https://www.lesswrong.com/posts/ZFtesgbY9XwtqqyZ5/human-psycholinguists-a-critical-appraisal,why assume AGIs will optimize for fixed goals?,https://www.lesswrong.com/posts/dKTh9Td3KaJ8QW6gw/why-assume-agis-will-optimize-for-fixed-goals,when will LLMs become human-level bloggers?,https://www.lesswrong.com/posts/EoFYB7GuAALnw5wCG/when-will-llms-become-human-level-bloggers
Stephen Martin,No affiliation on indexed works,other,,,early,0,10,0,10,10,high,0,228,0,10-24 works,2025,2026,"Existential, Timelines, Superintelligence",AI welfare; Deception & scheming,lesswrong,,stephen-martin,"CEO of Microsoft AI's ""Seemingly Conscious AI"" Post",https://www.lesswrong.com/posts/YNt6QGhEmzRDmEwky/ceo-of-microsoft-ai-s-seemingly-conscious-ai-post,Anthropic Lets Claude Opus 4 & 4.1 End Conversations,https://www.lesswrong.com/posts/HGyKm2be6u3EeYv9G/anthropic-lets-claude-opus-4-and-4-1-end-conversations,"Claude 4, Opportunistic Blackmail, and ""Pleas""",https://www.lesswrong.com/posts/xQSmAvbdTsYhRfy2p/claude-4-opportunistic-blackmail-and-pleas,"Microsoft AI CEO's ""Seemingly Conscious AI Risk""",https://www.lesswrong.com/posts/BBmmkEqaEPMj25G2G/microsoft-ai-ceo-s-seemingly-conscious-ai-risk
Sam McCandlish,No affiliation on indexed works,other,,,early,0,9,9,0,4,high,1174,0,0,4-9 works,2022,2023,"Medicine, Real-World, Insights","Topic Modeling; Explainable Artificial Intelligence (XAI); Natural Language Processing Techniques; Reinforcement Learning in Robotics; Multimodal Machine Learning Applications; Hate Speech and Cyberbullying Detection; Terrorism, Counterterrorism, and Political Violence; Software Engineering Research",openalex,https://openalex.org/A5054887773,,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,http://arxiv.org/abs/2204.05862,Affective Coherence Monitoring for Transformer-Based Language Models,http://arxiv.org/abs/2212.08073,AI Supported Degradation of the Self Concept: A Theoretical Framework Grounded in Established Cognitive and Computational Mechanisms,http://arxiv.org/abs/2310.13548,AI Supported Degradation of the Self Concept: A Theoretical Framework Grounded in Established Cognitive and Computational Mechanisms,http://arxiv.org/abs/2310.13548
Kamal Ndousse,No affiliation on indexed works,other,,,early,0,9,9,0,4,high,1168,0,0,4-9 works,2022,2024,"Medicine, Real-World, Insights","Topic Modeling; Explainable Artificial Intelligence (XAI); Natural Language Processing Techniques; Ethics and Social Impacts of AI; Reinforcement Learning in Robotics; Multimodal Machine Learning Applications; Hate Speech and Cyberbullying Detection; Terrorism, Counterterrorism, and Political Violence",openalex,https://openalex.org/A5028970835,,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,http://arxiv.org/abs/2204.05862,Affective Coherence Monitoring for Transformer-Based Language Models,http://arxiv.org/abs/2212.08073,AI Supported Degradation of the Self Concept: A Theoretical Framework Grounded in Established Cognitive and Computational Mechanisms,http://arxiv.org/abs/2310.13548,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,http://arxiv.org/abs/2401.05566
David Duvenaud,No affiliation on indexed works,other,,,mid,2,9,6,3,6,high,219,437,2,4-9 works,2023,2025,"Existential, Timelines, Superintelligence",Topic Modeling; Ethics and Social Impacts of AI; Explainable Artificial Intelligence (XAI); Reinforcement Learning in Robotics; Socioeconomic Development in MENA; Middle East and Rwanda Conflicts; Adversarial Robustness in Machine Learning; Natural Language Processing Techniques,lesswrong; openalex,https://openalex.org/A5030409494,david-duvenaud,Gradual Disempowerment: Systemic Existential Risks from Incremental AI Development,https://www.lesswrong.com/posts/pZhEQieM9otKXhxmd/gradual-disempowerment-systemic-existential-risks-from,The Artificial Self,https://www.lesswrong.com/posts/AvFAKAN4C4n6GTriR/the-artificial-self-1,AI Supported Degradation of the Self Concept: A Theoretical Framework Grounded in Established Cognitive and Computational Mechanisms,http://arxiv.org/abs/2310.13548,The Artificial Self,https://www.lesswrong.com/posts/AvFAKAN4C4n6GTriR/the-artificial-self-1
Evan Hubinger,No affiliation on indexed works,other,,,established,4,9,9,0,4,high,136,0,0,4-9 works,2022,2025,"Medicine, Real-World, Insights",Topic Modeling; Natural Language Processing Techniques; Software Engineering Research; Anomaly Detection Techniques and Applications; Socioeconomic Development in MENA; Middle East and Rwanda Conflicts; Adversarial Robustness in Machine Learning; Ethics and Social Impacts of AI,openalex,https://openalex.org/A5025461840,,Discovering Language Model Behaviors with Model-Written Evaluations,http://arxiv.org/abs/2212.09251,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,http://arxiv.org/abs/2401.05566,Alignment faking in large language models,http://arxiv.org/abs/2412.14093,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,http://arxiv.org/abs/2507.11473
Xipeng Qiu,Academia,academia,Fudan University,paper affiliation,mid,2,9,9,0,4,high,84,0,0,4-9 works,2023,2025,"Medicine, Real-World, Insights",Topic Modeling; Risk and Safety Analysis; Safety Systems Engineering in Autonomy; Occupational Health and Safety Research; Artificial Intelligence in Healthcare and Education; Statistical and Computational Modeling; Neural Networks and Applications; Machine Learning and Data Classification,openalex,https://openalex.org/A5044665993,,InternLM2 Technical Report,http://arxiv.org/abs/2403.17297,Secrets of RLHF in Large Language Models Part I: PPO,http://arxiv.org/abs/2307.04964,Safety at Scale: A Comprehensive Survey of Large Model and Agent Safety,https://doi.org/10.1561/3300000051,Safety at Scale: A Comprehensive Survey of Large Model Safety,https://doi.org/10.70777/si.v2i2.14609
Max Tegmark,Academia,academia,Massachusetts Institute of Technology,paper affiliation,established,6,9,9,0,6,high,78,0,0,4-9 works,2023,2025,"Quest, Mediator, Surveying","Natural Language Processing Techniques; Computability, Logic, AI Algorithms; Neural Networks and Applications; Adversarial Robustness in Machine Learning; Action Observation and Synchronization; Clinical Reasoning and Diagnostic Skills; Statistical and Computational Modeling; Evolutionary Algorithms and Applications",openalex,https://openalex.org/A5091601455,,Seeing Is Believing: Brain-Inspired Modular Training for Mechanistic Interpretability,https://doi.org/10.3390/e26010041,Towards Guaranteed Safe AI: A Framework for Ensuring Robust and Reliable AI Systems,http://arxiv.org/abs/2405.06624,The Geometry of Concepts: Sparse Autoencoder Feature Structure,https://doi.org/10.3390/e27040344,The Geometry of Concepts: Sparse Autoencoder Feature Structure,https://doi.org/10.3390/e27040344
Ramana Kumar,No affiliation on indexed works,other,,,mid,0,9,3,6,9,high,30,421,6,4-9 works,2019,2024,"Existential, Timelines, Superintelligence",Ethics and Social Impacts of AI; Software Engineering Research; Reinforcement Learning in Robotics; Software Reliability and Analysis Research; Infrastructure Resilience and Vulnerability Analysis; AI risk; Inner alignment; Agency & goals,lesswrong; openalex,https://openalex.org/A5082761102,ramana-kumar,Clarifying AI X-risk,https://www.lesswrong.com/posts/GctJD5oCDRxCspEaZ/clarifying-ai-x-risk,Threat Model Literature Review,https://www.lesswrong.com/posts/wnnkD6P2k2TfHnNmt/threat-model-literature-review,Optimization Concepts in the Game of Life,https://www.lesswrong.com/posts/mL8KdftNGBScmBcBg/optimization-concepts-in-the-game-of-life,Evaluating Frontier Models for Dangerous Capabilities,http://arxiv.org/abs/2403.13793
Jakub Growiec,Academia,academia,SGH Warsaw School of Economics,paper affiliation,early,0,9,2,7,9,high,7,195,0,4-9 works,2024,2026,"Existential, Timelines, Superintelligence","Innovation, Sustainability, Human-Machine Systems; Economic and Technological Innovation; Leadership, Behavior, and Decision-Making Studies; Neuroethics, Human Enhancement, Biomedical Innovations; Space Science and Extraterrestrial Life; Existential risk; Takeoff dynamics; AI control",lesswrong; openalex,https://openalex.org/A5089189909,jakub-growiec,Publishing academic papers on transformative AI is a nightmare,https://www.lesswrong.com/posts/rmYj6PTBMm76voYLn/publishing-academic-papers-on-transformative-ai-is-a,The Best of All Possible Worlds,https://www.lesswrong.com/posts/LwcoH3J2gXstJTQ2i/the-best-of-all-possible-worlds-1,Existential risk from transformative AI: an economic perspective,https://doi.org/10.3846/tede.2024.21525,The economics of p(doom): Scenarios of existential risk and economic growth in the age of transformative AI,https://doi.org/10.1016/j.econmod.2026.107718
Anthony W. Eckert,No affiliation on indexed works,other,,,early,0,9,9,0,6,high,0,0,0,4-9 works,2026,2026,"Medicine, Real-World, Insights","Psychology of Moral and Emotional Judgment; Adversarial Robustness in Machine Learning; Free Will and Agency; Persona Design and Applications; Transactional Analysis in Psychotherapy; Psychiatry, Mental Health, Neuroscience",openalex,https://openalex.org/A5013363653,,Drift Cascade as Thermodynamic Phase Transition in Reward Hacking: D1→D2→D3 Predicts Emergent Misalignment,https://doi.org/10.5281/zenodo.19257204,Drift Cascade as Thermodynamic Phase Transition in Reward Hacking: D1→D2→D3 Predicts Emergent Misalignment,https://doi.org/10.5281/zenodo.19261160,Drift Cascade as Thermodynamic Phase Transition in Reward Hacking: D1→D2→D3 Predicts Emergent Misalignment,https://doi.org/10.5281/zenodo.19270783,Thermodynamic Geometry of Persona Vectors: Berry Phase Structure in Language Model Activation Space,https://doi.org/10.5281/zenodo.19246633
Anurag ,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,22,0,4-9 works,2025,2026,"Existential, Timelines, Superintelligence",Field-building; Inner alignment; Evaluations; AI control; AI governance; AI welfare; AI risk; Corrigibility,lesswrong,,anurag-1,Alignment Is Not One Problem: A 3D Map of AI Risk,https://www.lesswrong.com/posts/aRiG8AqSM2tbNzbeg/alignment-is-not-one-problem-a-3d-map-of-ai-risk,An Approach for Evaluating Self-Boundary Consistency in AI Systems,https://www.lesswrong.com/posts/jn2aukQY2S7cTGaGH/an-approach-for-evaluating-self-boundary-consistency-in-ai,Can We Make AI Alignment Framing Less Wrong?,https://www.lesswrong.com/posts/gapGhQxqYQrayDdLd/can-we-make-ai-alignment-framing-less-wrong,Can We Make AI Alignment Framing Less Wrong?,https://www.lesswrong.com/posts/gapGhQxqYQrayDdLd/can-we-make-ai-alignment-framing-less-wrong
Liron,No affiliation on indexed works,other,,,mid,0,9,0,9,9,high,0,358,0,4-9 works,2019,2025,"Existential, Timelines, Superintelligence",AI risk; Existential risk; AI governance; Containment; Takeoff dynamics; Communication; Corrigibility,lesswrong,,liron,Interview with Eliezer Yudkowsky on Rationality and Systematic Misunderstanding of AI Alignment,https://www.lesswrong.com/posts/kiNbFKcKoNQKdgTp8/interview-with-eliezer-yudkowsky-on-rationality-and,Robin Hanson’s latest AI risk position statement,https://www.lesswrong.com/posts/AL6DRuE8s4yLn3yBo/robin-hanson-s-latest-ai-risk-position-statement,Robin Hanson AI X-Risk Debate — Highlights and Analysis,https://www.lesswrong.com/posts/quj3RniAw7GGJtqeX/robin-hanson-ai-x-risk-debate-highlights-and-analysis,AI Corrigibility Debate: Max Harms vs. Jeremy Gillen,https://www.lesswrong.com/posts/CsXAg8dHSgghDAoPx/ai-corrigibility-debate-max-harms-vs-jeremy-gillen
Kvee,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,1170,5,4-9 works,2023,2025,"Existential, Timelines, Superintelligence",AI risk; Embedded agency; Deception & scheming; AI governance; Field-building,lesswrong,,judd,Self-Other Overlap: A Neglected Approach to AI Alignment,https://www.lesswrong.com/posts/hzt9gHpNwA2oHtwKX/self-other-overlap-a-neglected-approach-to-ai-alignment,Making a conservative case for alignment,https://www.lesswrong.com/posts/rfCEWuid7fXxz4Hpa/making-a-conservative-case-for-alignment,The 'Neglected Approaches' Approach: AE Studio's Alignment Agenda,https://www.lesswrong.com/posts/qAdDzcBuDBLexb4fC/the-neglected-approaches-approach-ae-studio-s-alignment,Mistral Large 2 (123B) seems to exhibit alignment faking,https://www.lesswrong.com/posts/kCGk5tp5suHoGwhCa/mistral-large-2-123b-seems-to-exhibit-alignment-faking
Gabriel Alfour,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,1092,7,4-9 works,2022,2026,"Existential, Timelines, Superintelligence",AI risk; AI governance; Deception & scheming; Decision theory,lesswrong,,gabriel-alfour-1,AGI in sight: our look at the game board,https://www.lesswrong.com/posts/PE22QJSww8mpwh7bt/agi-in-sight-our-look-at-the-game-board,Preventing extinction from ASI on a $50M yearly budget,https://www.lesswrong.com/posts/TnAR5Sf5hphfnzNTr/preventing-extinction-from-asi-on-a-usd50m-yearly-budget,"The Compendium, A full argument about extinction risk from AGI",https://www.lesswrong.com/posts/prm7jJMZzToZ4QxoK/the-compendium-a-full-argument-about-extinction-risk-from,Stopgap Measures to Address Immediate AI Security Threats,https://www.lesswrong.com/posts/LqBAxFdyAiybnPL8e/stopgap-measures-to-address-immediate-ai-security-threats
Søren Elverlin,No affiliation on indexed works,other,,,mid,0,9,0,9,9,high,0,317,0,4-9 works,2020,2026,"Existential, Timelines, Superintelligence",Field-building; AI risk,lesswrong,,soren-elverlin-1,AISafety.com – Resources for AI Safety,https://www.lesswrong.com/posts/WNZGqeLMjPGFp78wX/aisafety-com-resources-for-ai-safety,Map of AI Safety v2,https://www.lesswrong.com/posts/rF7MQWGbqQjEkeLJA/map-of-ai-safety-v2,New homepage for AI safety resources – AISafety.com redesign,https://www.lesswrong.com/posts/ciw6DCdywoXk7yrdw/new-homepage-for-ai-safety-resources-aisafety-com-redesign,See all upcoming AI safety events and training programs,https://www.lesswrong.com/posts/k2fpQnAYnHcdW3qyW/see-all-upcoming-ai-safety-events-and-training-programs
Bryce Robertson,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,335,0,4-9 works,2023,2026,"Existential, Timelines, Superintelligence",Field-building; AI risk; Existential risk,lesswrong,,bryce-robertson,AISafety.com – Resources for AI Safety,https://www.lesswrong.com/posts/WNZGqeLMjPGFp78wX/aisafety-com-resources-for-ai-safety,Map of AI Safety v2,https://www.lesswrong.com/posts/rF7MQWGbqQjEkeLJA/map-of-ai-safety-v2,New AI safety funding newsletter,https://www.lesswrong.com/posts/5wMNcn8sCginw2s9D/new-ai-safety-funding-newsletter,See all upcoming AI safety events and training programs,https://www.lesswrong.com/posts/k2fpQnAYnHcdW3qyW/see-all-upcoming-ai-safety-events-and-training-programs
Corin Katzke,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,265,1,4-9 works,2023,2025,"Existential, Timelines, Superintelligence",AI risk; AI governance; Evaluations; Agency & goals; Existential risk,lesswrong,,corin-katzke,Soft Nationalization: how the USG will control AI labs,https://www.lesswrong.com/posts/BueeGgwJHt9D5bAsE/soft-nationalization-how-the-usg-will-control-ai-labs,Analysis of Global AI Governance Strategies,https://www.lesswrong.com/posts/6nNwMbdRXZDuNd4Gx/analysis-of-global-ai-governance-strategies,AI governance needs a theory of victory,https://www.lesswrong.com/posts/cuAFeLmquyEm3X6s5/ai-governance-needs-a-theory-of-victory-1,AISN #47: Reasoning Models,https://www.lesswrong.com/posts/rJnygfgGyZ3ovo9Yu/aisn-47-reasoning-models
Garrett Baker,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,373,1,4-9 works,2022,2024,"Existential, Timelines, Superintelligence",AI risk; Containment; Deception & scheming; Corrigibility; Embedded agency,lesswrong,,d0themath,Taking the parameters which seem to matter and rotating them until they don't,https://www.lesswrong.com/posts/C8kn3iL9Zedorjykt/taking-the-parameters-which-seem-to-matter-and-rotating-them,Collective Identity,https://www.lesswrong.com/posts/gLyRQCg6kp5cqTQTm/collective-identity,On Complexity Science,https://www.lesswrong.com/posts/PtMtMBHRZgHuup8sS/on-complexity-science,On Complexity Science,https://www.lesswrong.com/posts/PtMtMBHRZgHuup8sS/on-complexity-science
Prometheus,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,148,0,4-9 works,2022,2024,"Existential, Timelines, Superintelligence",AI risk; AI governance; Existential risk; Forecasting & timelines; Containment; Deception & scheming; Takeoff dynamics,lesswrong,,prometheus,Humans are not prepared to operate outside their moral training distribution,https://www.lesswrong.com/posts/ZDqiXgSYRgQTSFrsW/humans-are-not-prepared-to-operate-outside-their-moral,Why do so many think deception in AI is important?,https://www.lesswrong.com/posts/CYu6ZB6fFjGh2bAik/why-do-so-many-think-deception-in-ai-is-important,Lightning Post: Things people in AI Safety should stop talking about,https://www.lesswrong.com/posts/TpExcpmeHhhfNtXoh/lightning-post-things-people-in-ai-safety-should-stop,Why do so many think deception in AI is important?,https://www.lesswrong.com/posts/CYu6ZB6fFjGh2bAik/why-do-so-many-think-deception-in-ai-is-important
Tomek Korbak,Frontier / capabilities lab,frontier_capabilities,OpenAI,bio mention,early,0,9,0,9,9,high,0,665,7,4-9 works,2023,2026,"Deliberative, Enables, Chain-Of-Thought",Chain of thought; AI control; Deception & scheming; AI risk; Evaluations; Automated alignment research,lesswrong,,tomek-korbak,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,https://www.lesswrong.com/posts/7xneDbsgj6yJDJMjK/chain-of-thought-monitorability-a-new-and-fragile,Paper: On measuring situational awareness in LLMs,https://www.lesswrong.com/posts/mLfPHv4QjmeQrsSva/paper-on-measuring-situational-awareness-in-llms,Reasoning Models Struggle to Control Their Chains of Thought,https://www.lesswrong.com/posts/qTH9QrwJjPDWKQfDG/reasoning-models-struggle-to-control-their-chains-of-thought,Reasoning Models Struggle to Control Their Chains of Thought,https://www.lesswrong.com/posts/qTH9QrwJjPDWKQfDG/reasoning-models-struggle-to-control-their-chains-of-thought
jasoncrawford,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,575,0,4-9 works,2023,2024,"Existential, Timelines, Superintelligence",AI risk; Forecasting & timelines; Existential risk,lesswrong,,jasoncrawford,Biological risk from the mirror world,https://www.lesswrong.com/posts/y8ysGMphfoFTXZcYp/biological-risk-from-the-mirror-world,A plea for solutionism on AI safety,https://www.lesswrong.com/posts/ASMX9ss3J5G3GZdok/a-plea-for-solutionism-on-ai-safety,Chad Jones paper modeling AI and x-risk vs. growth,https://www.lesswrong.com/posts/EhHdZ5yBgEvLLx6Pw/chad-jones-paper-modeling-ai-and-x-risk-vs-growth,Biological risk from the mirror world,https://www.lesswrong.com/posts/y8ysGMphfoFTXZcYp/biological-risk-from-the-mirror-world
steven0461,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,338,0,4-9 works,2023,2025,"Existential, Timelines, Superintelligence",AI risk; Forecasting & timelines; Communication; Takeoff dynamics; Field-building; Agency & goals,lesswrong,,steven0461,Stampy's AI Safety Info soft launch,https://www.lesswrong.com/posts/obMiQv9K76nRZj9tE/stampy-s-ai-safety-info-soft-launch,"AISafety.info ""How can I help?"" FAQ",https://www.lesswrong.com/posts/nBzTxJmLdebiqhY8q/aisafety-info-how-can-i-help-faq,All AGI Safety questions welcome (especially basic ones) [April 2023],https://www.lesswrong.com/posts/wqeStKQ3PGzZaeoje/all-agi-safety-questions-welcome-especially-basic-ones-april-1,AI may pursue goals,https://www.lesswrong.com/posts/fYXsLKdfMvy9oYD3m/ai-may-pursue-goals
JakubK,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,132,0,4-9 works,2022,2023,"Existential, Timelines, Superintelligence",AI risk; Communication; AI governance; Decision theory; Existential risk; Field-building,lesswrong,,jakubk,List of technical AI safety exercises and projects,https://www.lesswrong.com/posts/rmCqibBhytQizcief/list-of-technical-ai-safety-exercises-and-projects,Best introductory overviews of AGI safety?,https://www.lesswrong.com/posts/T98kdFL5bxBWSiE3N/best-introductory-overviews-of-agi-safety,"Notes on ""the hot mess theory of AI misalignment""",https://www.lesswrong.com/posts/izSwxS4p53JgJpEZa/notes-on-the-hot-mess-theory-of-ai-misalignment,"Averting Catastrophe: Decision Theory for COVID-19, Climate Change, and Potential Disasters of All Kinds",https://www.lesswrong.com/posts/ANnpcyBMkeY6n9BYp/averting-catastrophe-decision-theory-for-covid-19-climate
Daniel_Eth,No affiliation on indexed works,other,,,mid,0,9,0,9,9,high,0,379,5,4-9 works,2021,2025,"Existential, Timelines, Superintelligence",Field-building; AI risk; Communication; AI governance; Takeoff dynamics; Forecasting & timelines; Corrigibility,lesswrong,,daniel_eth,Paths To High-Level Machine Intelligence,https://www.lesswrong.com/posts/amK9EqxALJXyd9Rb2/paths-to-high-level-machine-intelligence,"[Linkpost] ""Governance of superintelligence"" by OpenAI",https://www.lesswrong.com/posts/hoWRRLr8zFbDcQErd/linkpost-governance-of-superintelligence-by-openai,Takeoff Speeds and Discontinuities,https://www.lesswrong.com/posts/pGXR2ynhe5bBCCNqn/takeoff-speeds-and-discontinuities,Will AI R&D Automation Cause a Software Intelligence Explosion?,https://www.lesswrong.com/posts/tMHPQ5SDzm8gugoBN/will-ai-r-and-d-automation-cause-a-software-intelligence-1
janus,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,1660,8,4-9 works,2022,2025,"Existential, Timelines, Superintelligence",Inner alignment; Automated alignment research; AI risk; Deception & scheming; AI welfare; Agency & goals; Corrigibility,lesswrong,,janus-1,Simulators,https://www.lesswrong.com/posts/vJFdjigzmcXMhNTsx/simulators,Cyborgism,https://www.lesswrong.com/posts/bxt7uCiHam4QXrQAA/cyborgism,Why Do Some Language Models Fake Alignment While Others Don't?,https://www.lesswrong.com/posts/ghESoA8mo3fv9Yx3E/why-do-some-language-models-fake-alignment-while-others-don,Why Do Some Language Models Fake Alignment While Others Don't?,https://www.lesswrong.com/posts/ghESoA8mo3fv9Yx3E/why-do-some-language-models-fake-alignment-while-others-don
flandry19,No affiliation on indexed works,other,,,early,0,9,0,9,9,high,0,-61,0,4-9 works,2022,2023,"Existential, Timelines, Superintelligence",AI risk; AI governance,lesswrong,,flandry19,Institutions Cannot Restrain Dark-Triad AI Exploitation,https://www.lesswrong.com/posts/wGstGErtRegAzBjz9/institutions-cannot-restrain-dark-triad-ai-exploitation,"Bandwagon effect: Bias in Evaluating AGI X-Risks
",https://www.lesswrong.com/posts/Jyti97rDY4q3qpDgd/bandwagon-effect-bias-in-evaluating-agi-x-risks,Introduction: Bias in Evaluating AGI X-Risks,https://www.lesswrong.com/posts/nEdueRhZwB4eP6X3c/introduction-bias-in-evaluating-agi-x-risks,Status quo bias; System justification: Bias in Evaluating AGI X-Risks,https://www.lesswrong.com/posts/MPemgr9P66MfueNjc/status-quo-bias-system-justification-bias-in-evaluating-agi
Vika,Frontier / capabilities lab,frontier_capabilities,DeepMind,bio mention,mid,0,9,0,9,9,high,0,1062,8,4-9 works,2018,2025,"Existential, Timelines, Superintelligence",AI risk; Inner alignment; Field-building; Communication; Chain of thought; Takeoff dynamics; Embedded agency; Agency & goals,lesswrong,,vika,DeepMind alignment team opinions on AGI ruin arguments,https://www.lesswrong.com/posts/qJgz2YapqpFEDTLKn/deepmind-alignment-team-opinions-on-agi-ruin-arguments,Possible takeaways from the coronavirus pandemic for slow AI takeoff,https://www.lesswrong.com/posts/wTKjRFeSjKLDSWyww/possible-takeaways-from-the-coronavirus-pandemic-for-slow-ai,Clarifying AI X-risk,https://www.lesswrong.com/posts/GctJD5oCDRxCspEaZ/clarifying-ai-x-risk,Access to agent CoT makes monitors vulnerable to persuasion,https://www.lesswrong.com/posts/Bvb97FpmxnKKebSjX/access-to-agent-cot-makes-monitors-vulnerable-to-persuasion
Michaël Trazzi,No affiliation on indexed works,other,,,mid,0,9,0,9,9,high,0,452,4,4-9 works,2018,2025,"Deliberative, Enables, Chain-Of-Thought",AI governance; AI risk; Forecasting & timelines; Deception & scheming; Takeoff dynamics; Chain of thought,lesswrong,,mtrazzi,Finishing The SB-1047 Documentary In 6 Weeks,https://www.lesswrong.com/posts/YGn5ryzAS4L2mkmtd/finishing-the-sb-1047-documentary-in-6-weeks,A Gym Gridworld Environment for the  Treacherous Turn,https://www.lesswrong.com/posts/cKfryXvyJ522iFuNF/a-gym-gridworld-environment-for-the-treacherous-turn,Things I Learned Making The SB-1047 Documentary,https://www.lesswrong.com/posts/bb9rBGree5Gh77uDC/things-i-learned-making-the-sb-1047-documentary,Things I Learned Making The SB-1047 Documentary,https://www.lesswrong.com/posts/bb9rBGree5Gh77uDC/things-i-learned-making-the-sb-1047-documentary
Alex Flint,No affiliation on indexed works,other,,,mid,0,9,0,9,9,high,0,396,7,4-9 works,2018,2025,"Existential, Timelines, Superintelligence",Agency & goals; AI risk; AI governance; Agent foundations; Field-building; Debate & oversight; Takeoff dynamics,lesswrong,,alexflint,Agency in Conway’s Game of Life,https://www.lesswrong.com/posts/3SG4WbNPoP8fsuZgs/agency-in-conway-s-game-of-life,Announcement: Learning Theory Online Course,https://www.lesswrong.com/posts/sPAA9X6basAXsWhau/announcement-learning-theory-online-course,Life and expanding steerable consequences,https://www.lesswrong.com/posts/tmZRyXvH9dgopcnuE/life-and-expanding-steerable-consequences,Announcement: Learning Theory Online Course,https://www.lesswrong.com/posts/sPAA9X6basAXsWhau/announcement-learning-theory-online-course
